Entity,Code,Year,Renewables (% equivalent primary energy),key,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),Renewables (% electricity),Hydro (% equivalent primary energy),Hydro (% electricity),Wind Capacity,Wind (% equivalent primary energy),Wind (% electricity),Solar Capacity,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total
Africa,,1985,6.580027,Africa1985,0,49.449684,0,0.269,19.197454,6.5416107,19.093586,,0,0,,0,0,
Africa (BP),,1990,6.568428,Africa (BP)1990,0,57.254658,0,0.796,18.207285,6.4756594,17.957624,,0,0,,0,0,0.068616726
Africa (BP),,1991,6.9617443,Africa (BP)1991,0,60.65149,0,0.812,18.917315,6.866536,18.667395,,0,0,,0,0,0.068616726
Africa,,1996,6.4112005,Africa1996,0.0071,62.31646,0,1.258093,16.634296,6.2783985,16.303293,,0.00071551,0.001857509,0.001112425,0,0,
Africa (BP),,1992,6.552484,Africa (BP)1992,0,57.86029,0,0.84225,17.901201,6.4546914,17.64436,,0,0,,0,0,0.06880471
Africa (BP),,1993,6.4210205,Africa (BP)1993,0.002,56.682507,0,0.9377,16.991568,6.311711,16.71447,,0.000222805,0.000589758,,0,0,0.068616726
Africa,,1997,6.44885,Africa1997,0.0072,63.852497,0,1.3866404,16.272135,6.3046694,15.924518,0.006,0.000710495,0.001795647,0.003137276,0,0,
Africa (BP),,1994,6.2905235,Africa (BP)1994,0.0054,57.59605,0,0.835,16.630821,6.1963334,16.391645,,0.000581109,0.001536822,,0,0,0.068616726
Africa (BP),,1995,6.2837534,Africa (BP)1995,0.0063,59.768875,0,1.0187,16.758926,6.174329,16.476366,,0.000651156,0.001736708,,0,0,0.068616726
Africa,,1986,6.7038097,Africa1986,0,51.14537,0,0.659,19.179012,6.6174736,18.935038,,0,0,,0,0,
Africa (BP),,1996,6.4112005,Africa (BP)1996,0.0071,62.31646,0,1.2580931,16.634296,6.2783985,16.303293,,0.00071551,0.001857509,0.001012425,0,0,0.06880471
Africa (BP),,1997,6.44885,Africa (BP)1997,0.0072,63.852497,0,1.3866404,16.272135,6.3046694,15.924517,0.006,0.000710495,0.001795647,0.003037276,0,0,0.102925085
Africa,,1998,6.657183,Africa1998,0.0076,66.654884,0,1.7125492,16.819448,6.4815254,16.396313,0.01,0.000738995,0.00186951,0.005162126,0,0,
Africa (BP),,1998,6.657183,Africa (BP)1998,0.0076,66.654884,0,1.7125493,16.819447,6.4815254,16.39631,0.01,0.000738995,0.00186951,0.005062126,0,0,0.102925085
Africa (BP),,1999,6.8363028,Africa (BP)1999,0.0198,70.68426,0,1.6961248,17.294086,6.6663065,16.884209,0.064,0.001867357,0.004729587,0.008099401,0,0,0.068616726
Africa,,1999,6.8363028,Africa1999,0.0198,70.68426,0,1.6961248,17.294086,6.6663065,16.884209,0.064,0.001867074,0.004729587,0.008199402,0,0,
Africa (BP),,2000,7.1749406,Africa (BP)2000,0.1755,75.25581,0.011941,2.2690632,17.654526,6.936677,17.096462,0.13905,0.016176648,0.039869737,0.010927,0.001100658,0.002712732,0.06880471
Africa (BP),,2001,7.41413,Africa (BP)2001,0.41558,80.86912,0.01496,2.3353527,18.216648,7.1568594,17.614204,0.13905,0.036778532,0.090518005,0.013029,0.001323953,0.003258457,0.068616726
Africa,,1987,6.2346725,Africa1987,0,49.05646,0,0.658,17.738724,6.1510053,17.50394,,0,0,,0,0,
Africa (BP),,2002,7.6197057,Africa (BP)2002,0.443584,85.02647,0.016799713,2.2864,18.0019,7.353559,17.438547,0.14431,0.0383636,0.090977095,0.015243,0.001452931,0.003445546,0.32069764
Africa,,1988,6.3508363,Africa1988,0,53.593452,0,0.626,18.361074,6.2762327,18.149082,,0,0,,0,0,
Africa,,1989,6.648682,Africa1989,0,56.27621,0,0.617,18.553274,6.575383,18.352066,,0,0,,0,0,
Africa (BP),,2003,7.056476,Africa (BP)2003,0.535599,82.5746,0.020059297,2.6224,16.845776,6.768146,16.221458,0.15361,0.04389985,0.10521633,0.018019,0.001644141,0.003940571,0.33128294
Africa,,1990,6.568428,Africa1990,0,57.254658,0,0.796,18.207285,6.4756594,17.957624,,0,0,,0,0,
Africa,,2000,7.1749406,Africa2000,0.23,74.520004,0,2.52,18.374432,6.936677,17.720497,0.13905,0.01617664,0.054692887,0.010927,0.001100797,0,
Africa,,1991,6.9617434,Africa1991,0,60.65149,0,0.812,18.917315,6.8665357,18.667395,,0,0,,0,0,
Africa (BP),,2004,6.950178,Africa (BP)2004,0.7682805,87.21947,0.02456688,2.9788496,16.825418,6.633234,16.127983,0.23613,0.05842944,0.1420648,0.021996,0.001868369,0.004542727,0.36543164
Africa,,1992,6.5524845,Africa1992,0,57.86029,0,0.84225,17.901201,6.454692,17.64436,,0,0,,0,0,
Africa,,1993,6.4210205,Africa1993,0.002,56.682507,0,0.9377,16.99157,6.311711,16.714472,,0.000222805,0.000589758,,0,0,
Africa (BP),,2005,7.004725,Africa (BP)2005,0.7803821,88.83773,0.029383464,3.0096693,16.532818,6.696118,15.851317,0.2402,0.058821063,0.13924359,0.025965,0.002214768,0.005242892,0.41999254
Africa,,1994,6.2905235,Africa1994,0.0054,57.59605,0,0.835,16.630821,6.1963334,16.391645,,0.000581109,0.001536822,,0,0,
Africa,,2001,7.4141307,Africa2001,0.46,81.22,0,2.55,19.263138,7.1568594,18.57476,0.13905,0.036778532,0.10520057,0.013028999,0.001324146,0,
Africa,,1995,6.2837534,Africa1995,0.0063,59.76888,0,1.0187,16.758926,6.174329,16.476366,,0.000651156,0.001736708,,0,0,
Africa (BP),,2006,7.125098,Africa (BP)2006,0.8525656,92.049355,0.03791205,3.7704048,16.498604,6.759675,15.703465,0.327925,0.062608436,0.14544626,0.034268,0.002784081,0.006467732,0.44839332
Africa (BP),,2007,7.0290914,Africa (BP)2007,1.0162233,95.19856,0.050479364,3.1420484,16.27717,6.696656,15.58802,0.47012,0.0714853,0.16639861,0.046656,0.003550922,0.008265602,0.45416325
Africa (BP),,2008,6.73045,Africa (BP)2008,1.3117782,96.96721,0.07265389,3.2673957,16.296865,6.39227,15.550842,0.55532,0.086475015,0.21037273,0.063373,0.004789489,0.011651662,0.5273259
Africa (BP),,2009,6.7835674,Africa (BP)2009,1.5892309,99.561134,0.09582156,3.5627222,16.63348,6.419967,15.800642,0.74237,0.10247783,0.2522156,0.106845,0.006178827,0.015207161,3.180501
Africa,,2002,7.6051617,Africa2002,0.43,83.409996,0.02,2.4499998,18.668484,7.35356,18.041227,0.14431,0.03836359,0.09300716,0.015243,0.00145317,0.004325915,
Africa,,2003,7.0411763,Africa2003,0.61,81.68,0.02,2.71,17.521225,6.7681456,16.832907,0.15361,0.04389952,0.12571098,0.018019001,0.001643701,0.004121671,
Africa (BP),,2010,7.106614,Africa (BP)2010,2.2845824,107.69849,0.21605176,3.764553,16.941187,6.694661,16.009842,0.864797,0.14201224,0.33961296,0.193842,0.013430021,0.032117017,1.1110405
Africa,,2004,6.9333735,Africa2004,0.78,86.54,0.02,3.18,17.567488,6.633235,16.795078,0.23613,0.058429442,0.15137695,0.021996,0.001868296,0.00388146,
Africa,,2005,6.998331,Africa2005,0.83,88.65,0.02,3.81,17.419956,6.696118,16.549986,0.2402,0.058821063,0.15495192,0.025965,0.002214702,0.003733781,
Africa (BP),,2011,7.2368093,Africa (BP)2011,2.386504,110.75051,0.6020893,3.8587687,17.035778,6.7864485,16.043837,0.995002,0.14623758,0.3457201,0.266388,0.03689417,0.087221466,1.2481376
Africa,,2006,7.123233,Africa2006,0.87,91.85,0.03,3.66,17.282114,6.759675,16.464705,0.327925,0.062608436,0.15595311,0.034268,0.002783737,0.005377694,
Africa,,2007,7.0094085,Africa2007,1.18,93.92,0.03,3.6,16.92582,6.696656,16.101215,0.47012,0.0714853,0.2022938,0.046656002,0.003550832,0.005143063,
Africa (BP),,2012,7.0023284,Africa (BP)2012,2.5156302,111.22693,0.99265915,4.042407,16.439018,6.5257273,15.39399,1.127604,0.14759299,0.34816733,0.345954,0.0582397,0.13738565,1.2687395
Africa,,2008,6.716138,Africa2008,1.2900001,95.56,0.04,3.92,17.006596,6.39227,16.120924,0.55532,0.086475015,0.21762237,0.063372997,0.004789645,0.00674798,
Africa,,2009,6.7757106,Africa2009,1.6899999,98.61,0.06,4.31,17.57653,6.419966,16.558916,0.74237,0.10247785,0.28379035,0.106845,0.006178744,0.010075398,
Africa (BP),,2013,7.207865,Africa (BP)2013,3.5934472,117.65245,0.7875202,4.433249,16.964638,6.6739335,15.782271,1.741834,0.20384131,0.48203638,0.666973,0.04467274,0.10564044,1.2936754
Africa,,2010,7.1018925,Africa2010,2.37,109.5,0.39,4.6800003,17.634817,6.694661,16.512848,0.864797,0.14201224,0.35740134,0.193842,0.013429861,0.058812886,
Africa,,2011,7.2255993,Africa2011,2.44,110.57,0.49,4.8599997,17.671211,6.7864485,16.50816,0.995002,0.14623758,0.3642933,0.266388,0.03689415,0.07315726,
Africa (BP),,2014,7.5212083,Africa (BP)2014,5.060073,124.08205,1.9041501,5.462047,17.726316,6.8093343,16.112701,2.399398,0.27768505,0.65707684,1.57312,0.10449534,0.24726382,1.5134399
Africa,,2012,6.989345,Africa2012,2.35,111.14,0.53,4.85,17.093758,6.525726,15.982168,1.127604,0.14759299,0.33793497,0.345954,0.05823969,0.07621512,
Africa,,2013,7.1956143,Africa2013,3.5300002,116.39,0.51,5.39,17.647554,6.6739335,16.3249,1.741834,0.20384131,0.495119,0.666973,0.044672735,0.07153277,
Africa (BP),,2015,7.4785933,Africa (BP)2015,8.9106865,120.4148,3.2586064,7.1696815,17.680172,6.4173684,15.233611,3.320268,0.47488478,1.1272861,1.930761,0.17366369,0.41224453,1.7531116
Africa,,2014,7.509692,Africa2014,5.55,121.68,1.8100001,8.309999,18.590454,6.809334,16.469505,2.399398,0.27768502,0.7511979,1.57312,0.10449535,0.24498524,
Africa,,2015,7.464454,Africa2015,8.559999,119.33,3.2000003,10.65,18.623781,6.4173684,15.679241,3.320268,0.47488478,1.1247321,1.930761,0.1736639,0.4204607,
Africa (BP),,2016,7.3201394,Africa (BP)2016,11.176371,117.42635,5.3840914,7.231852,17.64968,6.0616903,14.676086,3.826414,0.57693774,1.3968362,2.988417,0.27793333,0.67291015,1.7627658
Africa,,2016,7.307821,Africa2016,10.48,118.520004,4.85,10.26,18.739191,6.06169,15.411623,3.826414,0.57693774,1.3627558,2.988417,0.2779333,0.63066465,
Africa,,2017,7.7397423,Africa2017,11.55,125.04,6.57,9.65,19.122046,6.3259087,15.647016,4.5792627,0.6237429,1.4453218,4.711063,0.3892137,0.8221441,
Africa (BP),,2017,7.7515693,Africa (BP)2017,12.457454,126.34168,7.7734146,7.6260357,18.653673,6.3259087,15.283772,4.579263,0.6237429,1.5069999,4.711063,0.3892137,0.94036347,1.2300222
Africa,,2018,8.169643,Africa2018,15.28,132.92,8.99,9.690001,20.473812,6.5469427,16.307402,5.4715527,0.7183791,1.8746395,7.210268,0.48900396,1.1029457,
Africa,,2019,8.5593,Africa2019,18.51,135.51,13.849999,9.67,21.454725,6.617261,16.375631,5.528753,0.91754866,2.236831,8.415319,0.6120093,1.6736958,
Africa (BP),,2018,8.187628,Africa (BP)2018,14.769322,134.60008,10.053543,8.17267,19.723248,6.546942,15.840217,5.471553,0.7183793,1.7381065,7.210268,0.4890039,1.1831368,1.4472462
Africa,,2020,9.624269,Africa2020,17.66,142.22,14.400001,9.29,22.731155,7.327819,17.610857,6.4846533,1.0664787,2.1868074,9.703859,0.8039458,1.7831272,
Africa,,2021,9.555876,Africa2021,20.89,145.22,17.12,9.51,22.963007,7.227977,17.301483,7.334153,1.1503035,2.4888308,10.30226,0.77807826,2.0396738,
Africa (BP),,2019,8.574492,Africa (BP)2019,19.331633,139.4176,12.894289,8.262966,20.735146,6.617261,16.068594,5.528753,0.91754866,2.2280698,8.415319,0.6120092,1.4861331,1.4500226
Africa (BP),,1985,6.580027,Africa (BP)1985,0,49.449684,0,0.269,19.197454,6.5416107,19.093586,,0,0,,0,0,
Africa (BP),,1986,6.70381,Africa (BP)1986,0,51.145374,0,0.659,19.179014,6.6174746,18.93504,,0,0,,0,0,
Africa (BP),,2020,9.644047,Africa (BP)2020,21.302898,146.37308,16.058805,8.066416,22.43074,7.327819,17.118017,6.484653,1.0664787,2.4913282,9.703859,0.8039458,1.8780429,1.4330739
Africa (BP),,1987,6.2346725,Africa (BP)1987,0,49.05646,0,0.658,17.738724,6.1510053,17.50394,,0,0,,0,0,
Africa (BP),,1988,6.3508363,Africa (BP)1988,0,53.593456,0,0.626,18.361078,6.276232,18.149086,,0,0,,0,0,
Africa (BP),,2021,9.574978,Africa (BP)2021,24.41597,153.41869,16.515236,8.026318,22.54922,7.227977,17.09426,7.334153,1.1503036,2.720483,10.30226,0.77807826,1.8401653,1.4358858
Africa (BP),,1989,6.648681,Africa (BP)1989,0,56.276215,0,0.617,18.553274,6.5753827,18.352068,,0,0,,0,0,
Argentina,ARG,1990,10.292679,Argentina1990,0,17.713175,0,0.13302182,34.989185,10.209906,34.728382,,0,0,,0,0,0
Argentina,ARG,1991,9.081444,Argentina1991,0,15.869253,0,0.1310081,29.710293,9.001223,29.467028,,0,0,,0,0,0
Argentina,ARG,1992,10.206743,Argentina1992,0,19.16509,0,0.12998593,34.389725,10.132553,34.15805,,0,0,,0,0,0
Argentina,ARG,1993,12.216533,Argentina1993,0,23.768307,0,0.09599508,38.57245,12.1635,38.417286,,0,0,,0,0,0
Argentina,ARG,1994,13.306406,Argentina1994,0,27.286676,0,0.099004395,41.73245,13.254489,41.581577,,0,0,,0,0,0
Argentina,ARG,1995,12.535519,Argentina1995,0,26.503681,0,0.119016126,39.635246,12.475042,39.458057,,0,0,,0,0,0
Argentina,ARG,1996,10.225038,Argentina1996,0.009618,22.471685,0,0.22302064,32.54642,10.112366,32.212933,,0.004328139,0.013787307,0,0,0,0
Argentina,ARG,1997,12.514141,Argentina1997,0.014592,27.924665,0,0.17875852,38.803555,12.421807,38.536728,0.009,0.006490992,0.020137321,0,0,0,0
Argentina,ARG,1998,11.482152,Argentina1998,0.032541,26.475504,0.000017,0.20689325,36.01876,11.372231,35.695915,0.014,0.013977584,0.043873794,0,7.30E-06,2.29E-05,0
Argentina,ARG,1999,9.226557,Argentina1999,0.034781,21.396791,0.000026,0.26199996,26.86689,9.091587,26.499302,0.014,0.014778581,0.043075256,0,1.11E-05,3.22E-05,0
